episode,reward,length,success
744,-4.4615,500,0
745,-111.2525,291,0
746,-101.7925,463,0
747,-105.3871,214,0
748,-24.6128,500,0
749,-5.9183,500,0
750,-6.4671,500,0
751,-117.0383,423,0
752,-34.2169,500,0
753,-9.7234,500,0
754,-105.8724,423,0
755,-108.4310,334,0
756,-107.4700,195,0
757,-105.3402,114,0
758,-102.3523,466,0
759,-98.1072,484,0
760,-22.4058,500,0
761,-99.0238,135,0
762,-18.9817,500,0
763,-103.8355,86,0
764,-119.0592,414,0
765,-125.1422,483,0
766,-22.4358,500,0
767,-98.9088,263,0
768,-97.4276,306,0
769,-100.7764,33,0
770,-16.7547,500,0
771,-28.8432,500,0
772,-25.1770,500,0
773,-27.9870,500,0
774,-105.8064,94,0
775,-96.0996,308,0
776,-16.6594,500,0
777,-102.0933,90,0
778,-99.6177,301,0
779,-10.4613,500,0
780,-108.9581,260,0
781,-22.0256,500,0
782,-106.4068,444,0
783,-107.1986,427,0
784,-108.4742,315,0
785,-34.3104,500,0
786,-18.8906,500,0
787,-98.4176,405,0
788,-19.4589,500,0
789,-124.9590,375,0
790,-123.3209,490,0
791,-106.3848,136,0
792,-30.9153,500,0
793,-100.2986,296,0
794,-27.2636,500,0
795,-114.0375,290,0
796,-104.6828,474,0
797,-1.3997,500,0
798,-114.4699,400,0
799,-112.5596,216,0
800,-12.7220,500,0
801,-11.3633,500,0
802,-113.9059,311,0
803,-24.7461,500,0
804,-112.7466,240,0
805,-29.5946,500,0
806,-111.1052,253,0
807,-23.7193,500,0
808,-22.6373,500,0
809,-109.9806,339,0
810,-111.7279,177,0
811,-33.1069,500,0
812,-10.0189,500,0
813,-124.8237,347,0
814,-25.8006,500,0
815,-34.1409,500,0
816,-111.2799,139,0
817,-102.8958,368,0
818,-107.8277,201,0
819,-11.0039,500,0
820,-113.1987,485,0
821,-102.3413,114,0
822,-114.8581,278,0
823,-117.5380,380,0
824,-20.6850,500,0
825,-22.0863,500,0
826,-20.5295,500,0
827,-20.1958,500,0
828,-19.8156,500,0
829,-128.3835,477,0
830,-107.1565,97,0
831,-25.2890,500,0
832,-21.8734,500,0
833,-103.3817,91,0
834,-9.4066,500,0
835,-101.6873,27,0
836,-102.3535,40,0
837,-19.8147,500,0
838,-94.3979,310,0
839,-90.0116,289,0
840,-94.8694,452,0
841,-92.7605,233,0
842,-14.2543,500,0
843,-89.1144,200,0
844,-102.4280,409,0
845,-100.1168,149,0
846,-107.4015,218,0
847,-1.2051,500,0
848,-88.7306,122,0
849,-93.8375,336,0
850,-118.5299,447,0
851,-98.2582,93,0
852,-90.3208,378,0
853,-87.9676,217,0
854,-99.6311,16,0
855,-99.9536,161,0
856,-93.3319,86,0
857,-100.4499,127,0
858,-18.4607,500,0
859,-102.4401,268,0
860,-113.4798,385,0
861,-100.0647,30,0
862,-100.8566,58,0
863,-101.1822,90,0
864,-91.4587,220,0
865,-94.2599,383,0
866,-98.5066,129,0
867,-78.5431,238,0
868,-95.3168,114,0
869,-85.9168,155,0
870,-95.4553,133,0
871,-98.3165,284,0
872,-101.4979,223,0
873,-10.1172,500,0
874,-96.2056,319,0
875,-87.0660,127,0
876,-98.1232,89,0
877,-100.8108,118,0
878,-102.8662,66,0
879,-102.1216,166,0
880,-86.7135,135,0
881,-7.0836,500,0
882,-5.2216,500,0
883,-99.7963,250,0
884,-4.7502,500,0
885,-98.5773,223,0
886,1.7561,500,0
887,-117.3875,447,0
888,-3.5879,500,0
889,-101.7461,144,0
890,-5.2760,500,0
891,-102.0738,288,0
892,-31.3451,500,0
893,-90.3527,271,0
894,-103.6997,185,0
895,-99.3297,30,0
896,-87.1507,306,0
897,-81.3817,325,0
898,-84.6897,164,0
899,-102.8738,327,0
900,-91.8476,232,0
901,4.8921,500,0
902,-92.6908,224,0
903,-90.9230,196,0
904,-98.4296,351,0
905,-89.1071,197,0
906,-84.8659,209,0
907,-97.5395,110,0
908,-84.1867,289,0
909,-86.6821,108,0
910,-94.1435,96,0
911,-80.3895,152,0
912,-78.7627,159,0
913,-94.3920,88,0
914,-91.0027,202,0
915,-96.8520,105,0
916,-80.0929,178,0
917,-85.1843,140,0
918,-87.3015,191,0
919,-100.3185,6,0
920,-94.9701,74,0
921,-96.9682,20,0
922,-79.7261,196,0
923,-99.1705,25,0
924,-99.0830,231,0
925,-85.4410,283,0
926,-97.7732,10,0
927,-94.7128,72,0
928,-75.6093,152,0
929,-71.8839,192,0
930,-73.1121,203,0
931,-80.7995,152,0
932,-87.3543,187,0
933,-77.7750,159,0
934,-90.8076,74,0
935,-75.4449,190,0
936,-97.5376,80,0
937,-81.8943,85,0
938,-97.5401,4,0
939,-92.4477,50,0
940,-92.8717,38,0
941,1.8555,500,0
942,-92.1993,240,0
943,-75.7434,170,0
944,-77.7708,159,0
945,-85.0450,133,0
946,-98.1505,25,0
947,-96.4453,21,0
948,-97.9306,127,0
949,-91.7527,83,0
950,-96.8363,196,0
951,-95.0784,126,0
952,-97.4660,52,0
953,-94.3569,53,0
954,-76.7354,233,0
955,21.2241,500,0
956,-81.2367,125,0
957,-77.0635,195,0
958,-95.6314,169,0
959,-94.3494,68,0
960,-93.0274,232,0
961,24.0289,500,0
962,-91.2053,79,0
963,-100.5653,52,0
964,-94.8901,133,0
965,-92.0527,78,0
966,-84.0380,152,0
967,-98.2002,19,0
968,-87.3265,110,0
969,-85.8466,349,0
970,-76.9995,250,0
971,-95.2367,42,0
972,-94.8780,30,0
973,-99.1069,6,0
974,-76.3650,114,0
975,-81.3310,330,0
976,-86.6207,103,0
977,-99.8689,4,0
978,-76.6034,267,0
979,-91.5528,131,0
980,-89.0415,95,0
981,-87.2656,40,0
982,-93.1079,71,0
983,-97.0935,29,0
984,-68.6259,213,0
985,-78.3771,90,0
986,-85.3178,355,0
987,-88.7089,58,0
988,-103.0566,248,0
989,-90.0717,129,0
990,-100.7873,241,0
991,-82.9618,323,0
992,-80.6531,157,0
993,-96.3765,136,0
994,-86.0873,150,0
995,-73.9751,138,0
996,19.9917,500,0
997,-98.9113,31,0
998,-100.2621,115,0
999,-97.6885,18,0
1000,-101.7669,177,0
1001,-4.8319,500,0
1002,-98.9398,7,0
1003,-19.6135,500,0
1004,-69.7693,178,0
1005,-84.5314,181,0
1006,-94.4223,76,0
1007,-4.7414,500,0
1008,-81.2541,278,0
1009,-97.5898,68,0
1010,-99.8759,10,0
1011,-18.4586,500,0
1012,-93.9768,108,0
1013,-84.3711,333,0
1014,-19.1876,500,0
1015,-101.8716,179,0
1016,-87.4736,318,0
1017,-99.3407,5,0
1018,-17.4499,500,0
1019,-95.1364,379,0
1020,-80.3800,241,0
1021,-0.8805,500,0
1022,-88.8284,205,0
1023,-100.0273,68,0
1024,-83.6981,286,0
1025,-80.9062,308,0
1026,-91.5307,171,0
1027,-94.0393,123,0
1028,-89.7020,205,0
1029,-100.9545,213,0
1030,-94.4305,309,0
1031,-1.5346,500,0
1032,-81.9167,226,0
1033,-92.4229,170,0
1034,-89.0666,172,0
1035,-13.1709,500,0
1036,-8.4005,500,0
1037,-92.5189,342,0
1038,-109.7063,221,0
1039,-15.3910,500,0
1040,-103.0857,199,0
1041,-100.0452,145,0
1042,-91.0570,151,0
1043,-98.9523,50,0
1044,-100.5789,242,0
1045,-101.2154,72,0
1046,-95.7432,382,0
1047,-7.5541,500,0
1048,-86.0770,237,0
1049,2.6824,500,0
1050,-99.9692,161,0
1051,-83.5293,206,0
1052,-84.4106,252,0
1053,-14.9830,500,0
1054,-93.3888,339,0
1055,-110.4512,264,0
1056,-85.2863,294,0
1057,-99.4049,2,0
1058,-2.6856,500,0
1059,1.2761,500,0
1060,-26.7819,500,0
1061,-108.2823,278,0
1062,-15.3259,500,0
1063,-99.4741,306,0
1064,-99.0835,37,0
1065,-103.3313,439,0
1066,-101.0979,106,0
1067,-20.0167,500,0
1068,-122.1616,493,0
1069,-16.8822,500,0
1070,-97.0572,390,0
1071,-98.9177,48,0
1072,-24.2788,500,0
1073,-98.8482,347,0
1074,-100.0759,84,0
1075,-7.8801,500,0
1076,-93.1929,154,0
1077,-101.2100,37,0
1078,-73.8522,220,0
1079,-86.4746,192,0
1080,-101.9030,61,0
1081,-96.9697,466,0
1082,-6.8777,500,0
1083,-18.7466,500,0
1084,-6.1399,500,0
1085,-12.9243,500,0
1086,4.6922,500,0
1087,-14.8951,500,0
1088,-19.9763,500,0
1089,-117.0373,445,0
1090,-86.4404,269,0
1091,-91.4644,232,0
1092,-100.5798,47,0
1093,-88.8946,249,0
1094,-28.5411,500,0
1095,-1.4388,500,0
1096,-13.7481,500,0
1097,-12.5895,500,0
1098,-114.6432,300,0
1099,-14.0895,500,0
1100,-109.8661,411,0
1101,-18.7839,500,0
1102,-94.8821,172,0
1103,-5.6791,500,0
1104,6.4570,500,0
1105,-102.8194,94,0
1106,-108.5188,140,0
1107,-97.2652,343,0
1108,-19.3997,500,0
