episode,reward,length,success
797,153.9872,106,1
798,141.7397,101,1
799,174.6284,141,1
800,124.9055,73,1
801,142.6984,101,1
802,-55.2561,85,0
803,176.2065,204,1
804,163.2952,279,1
805,176.6798,147,1
806,168.9128,138,1
807,140.2630,97,1
808,156.0158,134,1
809,171.1791,267,1
810,183.6709,209,1
811,165.0434,117,1
812,126.7003,471,1
813,161.1719,109,1
814,155.9283,172,1
815,-17.6871,500,0
816,135.8117,95,1
817,140.3595,186,1
818,145.0987,106,1
819,162.3757,115,1
820,150.6556,108,1
821,134.7648,113,1
822,154.3375,111,1
823,160.4044,226,1
824,139.8671,97,1
825,140.3955,184,1
826,143.7983,101,1
827,174.6971,182,1
828,131.4679,69,1
829,175.9307,223,1
830,173.8736,142,1
831,143.5750,101,1
832,129.9530,69,1
833,162.4490,123,1
834,167.8216,120,1
835,7.9960,500,0
836,157.6037,171,1
837,149.5828,104,1
838,142.2251,147,1
839,145.1026,92,1
840,-88.5472,35,0
841,169.6312,123,1
842,10.4824,500,0
843,123.5107,64,1
844,145.4718,103,1
845,149.0510,132,1
846,154.5065,110,1
847,184.5015,140,1
848,162.5716,117,1
849,170.5250,122,1
850,163.5979,113,1
851,133.1156,95,1
852,-98.7685,4,0
853,164.8146,138,1
854,28.5475,500,0
855,-94.8851,16,0
856,166.4415,117,1
857,-100.1207,8,0
858,137.5624,93,1
859,176.5903,154,1
860,149.3242,97,1
861,147.0094,92,1
862,172.7617,125,1
863,148.7000,98,1
864,176.9572,132,1
865,145.2450,91,1
866,167.7634,118,1
867,137.1856,89,1
868,150.9860,103,1
869,173.4522,121,1
870,134.4827,76,1
871,156.5354,110,1
872,163.7239,125,1
873,129.3576,66,1
874,157.1145,336,1
875,150.1825,99,1
876,118.2418,107,1
877,-103.8106,500,0
878,131.9272,70,1
879,137.7317,84,1
880,170.5287,176,1
881,154.3576,107,1
882,158.7298,129,1
883,124.2174,64,1
884,149.2364,188,1
885,150.8917,122,1
886,168.3224,125,1
887,174.7292,132,1
888,125.0488,57,1
889,137.8046,89,1
890,155.1405,99,1
891,168.6054,145,1
892,175.7842,137,1
893,178.9450,151,1
894,134.3178,71,1
895,123.6727,77,1
896,166.1279,105,1
897,172.2126,114,1
898,141.3909,111,1
899,159.9294,124,1
900,166.4359,130,1
901,146.1040,96,1
902,140.2152,78,1
903,178.9162,129,1
904,184.5864,149,1
905,150.0235,100,1
906,176.0846,131,1
907,153.8624,97,1
908,153.8207,94,1
909,129.7544,116,1
910,-213.4731,500,0
911,128.5518,69,1
912,153.9777,83,1
913,153.4673,92,1
914,119.0672,58,1
915,160.7456,111,1
916,155.2399,114,1
917,121.2436,63,1
918,174.4926,113,1
919,158.7976,91,1
920,146.6343,92,1
921,169.5152,129,1
922,168.1140,135,1
923,55.1569,500,0
924,140.8235,78,1
925,159.3988,104,1
926,170.6566,123,1
927,143.3484,445,1
928,165.2688,109,1
929,151.4556,133,1
930,180.8052,147,1
931,138.9242,69,1
932,-173.1489,500,0
933,165.8362,118,1
934,156.1043,97,1
935,-67.1572,500,0
936,156.3113,100,1
937,143.9379,143,1
938,150.3781,88,1
939,-77.8199,500,0
940,162.7983,137,1
941,-101.7273,14,0
942,145.2786,100,1
943,120.7085,73,1
944,171.4912,174,1
945,124.8948,108,1
946,157.6943,164,1
947,168.5193,137,1
948,129.1632,98,1
949,127.7757,74,1
950,163.9384,113,1
951,157.3041,131,1
952,152.0178,83,1
953,145.0712,83,1
954,168.3423,143,1
955,164.7554,101,1
956,131.0330,64,1
957,150.2125,83,1
958,-135.1376,500,0
959,144.3665,82,1
960,126.0791,67,1
961,129.8938,67,1
962,127.2657,69,1
963,168.2688,132,1
964,170.9101,131,1
965,152.3726,90,1
966,144.2970,81,1
967,154.3965,107,1
968,123.2730,65,1
969,-188.5447,500,0
970,141.1564,118,1
971,139.6552,81,1
972,162.2416,127,1
973,145.0645,92,1
974,125.2851,78,1
975,151.4256,126,1
976,170.8324,109,1
977,180.1213,121,1
978,149.1351,99,1
979,172.1515,113,1
980,155.0229,119,1
981,121.6131,96,1
982,136.7413,66,1
983,168.5085,134,1
984,128.9505,54,1
985,127.3057,71,1
986,149.6949,141,1
987,156.7343,127,1
988,170.4242,122,1
989,134.6255,175,1
990,160.1242,118,1
991,185.3793,141,1
992,177.4249,127,1
993,128.7581,57,1
994,145.4988,91,1
995,149.4195,129,1
996,-227.3304,500,0
997,184.5977,141,1
998,139.8084,117,1
999,-99.8247,2,0
1000,177.0264,110,1
1001,155.9366,101,1
1002,158.1691,100,1
1003,-216.3067,500,0
1004,140.0013,79,1
1005,145.2757,97,1
1006,166.5721,96,1
1007,147.8533,99,1
1008,167.0932,117,1
1009,135.5303,70,1
1010,153.4820,110,1
1011,137.3122,79,1
1012,162.0297,112,1
1013,51.9538,500,0
1014,155.3622,190,1
1015,152.9605,96,1
1016,158.1196,100,1
1017,160.2252,109,1
1018,150.4104,83,1
1019,135.8203,98,1
1020,133.4710,102,1
1021,136.8511,178,1
1022,157.9865,124,1
1023,146.8839,98,1
1024,128.0712,76,1
1025,117.0394,112,1
1026,154.3842,119,1
1027,150.3551,85,1
1028,133.3049,79,1
1029,157.9530,94,1
1030,163.7329,100,1
1031,126.2079,78,1
1032,129.6297,90,1
1033,138.8096,101,1
1034,149.8357,86,1
1035,166.7324,96,1
1036,140.1473,91,1
1037,154.8412,118,1
1038,168.8053,113,1
1039,-99.1676,3,0
1040,150.0579,110,1
1041,178.6522,122,1
1042,153.8796,130,1
1043,180.4113,125,1
1044,150.9432,94,1
1045,126.8891,81,1
1046,160.4740,102,1
1047,167.1653,145,1
1048,139.4396,95,1
1049,146.1729,81,1
1050,136.8561,76,1
1051,153.9017,112,1
1052,154.2104,222,1
1053,151.0814,77,1
1054,149.3096,93,1
1055,140.9997,76,1
1056,138.4865,95,1
1057,149.1776,102,1
1058,175.6133,125,1
